"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"LINDEINDIA.NS, Long, 2026-02-02 (Price: 5930.5)",2026-02-12 (Price: 6440.5),"8.6%, 10 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-13 (Price: 6734.0), 13.55% above",11 days,"10, 2025-11-20 (Price: 6332.0)",2026-02-02 (Price: 5930.5),2026-02-02 (Price: 5930.5),11/11/11 days,13.55% above/13.55% above/13.55% above,2025-11-20 (Price: 6332.0)/2026-02-02 (Price: 5838.6011),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-08-16/2026-02-10/2026-03-01,26.6%,29.05%,-2.45%,0.58,1.32,6823.0403/6724.594/6171.4/6045.0/10059.5422/11195.0707/6375.05,5843.5/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),98.53432,20.0,1933250000.0,1064240000.0
"SCI.NS, Long, 2026-01-30 (Price: 225.37)",2026-02-12 (Price: 273.62),"21.41%, 13 days","94.74%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-13 (Price: 269.5), 19.58% above",14 days,"2, 2025-10-24 (Price: 280.5)",2026-01-30 (Price: 225.37),2026-01-30 (Price: 225.37),14/14/14 days,19.58% above/19.58% above/19.58% above,2025-10-24 (Price: 280.5)/2026-01-30 (Price: 218.4033),11.12%/4.13%/6.82%,"4.19%, 58.44%",4.3 months/8 days/1.5 month,2026-08-04/2026-02-10/2026-04-05,11.25%,15.38%,-4.13%,1.85,0.7,232.9875/240.7402/258.45/No Horizontal Resistance/303.2302/328.2466/No EMA 200 Target,201.74/97.9333/219.2608/159.3898/No F-Track Level/No F-Track Level/217.55,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),11.049754,20.0,4049700000.0,755200000.0
"ATUL.NS, Long, 2026-01-29 (Price: 6187.5)",2026-02-12 (Price: 6628.5),"7.13%, 14 days","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-13 (Price: 6642.5), 7.35% above",15 days,"0, 2025-05-26 (Price: 7289.0)",2026-01-28 (Price: 6149.0),2026-01-29 (Price: 6187.5),16/15/15 days,8.03% above/7.35% above/7.35% above,2025-05-26 (Price: 7289.0)/2026-01-29 (Price: 5827.7273),13.13%/0.46%/5.09%,"17.37%, 25.96%",2.7 months/7 days/26 days,2026-05-26/2026-02-08/2026-03-07,11.38%,4.85%,6.53%,0.44,0.25,6692.4/6502.4437/6848.4/10824.4001/12269.9576/13179.5057/6425.25,5664.5/5668.0/5827.6988/5342.5376/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),32.865906,20.0,1607400000.0,1368100000.0
"GUJGASLTD.NS, Long, 2026-01-29 (Price: 420.3)",2026-02-12 (Price: 425.35),"1.2%, 14 days","82.35%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-13 (Price: 425.25), 1.18% above",15 days,"8, 2024-06-14 (Price: 648.95)",2026-01-27 (Price: 402.8),2026-01-29 (Price: 420.3),17/15/15 days,5.57% above/1.18% above/1.18% above,2024-06-14 (Price: 648.95)/2026-01-29 (Price: 394.3138),11.14%/3.38%/7.08%,"25.86%, 41.85%",2.2 months/6 days/20 days,2026-05-04/2026-02-06/2026-02-26,2.32%,6.86%,-4.54%,0.0,0.36,435.5989/450.0572/557.49/692.975/822.5996/869.5839/434.95,394.55/400.3/387.7818/285.1359/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),25.162819,16.0,2668400000.0,2209900000.0
"JINDALSTEL.NS, Long, 2026-01-29 (Price: 1159.6)",2026-02-11 (Price: 1194.8),"3.04%, 13 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-13 (Price: 1181.5), 1.89% above",15 days,"4, 2025-10-03 (Price: 1087.6)",2026-01-28 (Price: 1119.4),2026-01-29 (Price: 1159.6),16/15/15 days,5.55% above/1.89% above/1.89% above,2025-10-03 (Price: 1087.6)/2026-01-29 (Price: 1088.2017),10.17%/1.38%/4.87%,"6.9%, 30.08%",2.5 months/6 days/22 days,2026-05-17/2026-02-06/2026-03-01,26.03%,23.89%,2.14%,1.35,1.04,1271.9652/1216.0725/1202.8/No Horizontal Resistance/1159.8636/1297.5069/No EMA 200 Target,1010.3/343.55/1079.4257/822.3004/No F-Track Level/No F-Track Level/993.58,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),60.307693,20.0,1904300000.0,8609000000.0
"NTPC.NS, Long, 2026-01-29 (Price: 358.15)",2026-02-10 (Price: 366.9),"2.44%, 12 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-02-13 (Price: 365.25), 1.98% above",15 days,"6, 2024-03-05 (Price: 359.95)",2026-01-29 (Price: 358.15),2026-01-29 (Price: 358.15),15/15/15 days,1.98% above/1.98% above/1.98% above,2024-03-05 (Price: 359.95)/2026-01-29 (Price: 347.7091),8.6%/0.83%/4.11%,"-0.0%, 15.97%",1.2 month/4 days/14 days,2026-03-22/2026-02-03/2026-02-18,15.12%,12.73%,2.39%,1.06,0.69,375.4486/372.87/359.23/389.25/475.9797/524.6215/No EMA 200 Target,336.7/121.5833/342.5683/321.231/No F-Track Level/No F-Track Level/337.03,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),20.179756,16.0,54886700000.0,52745900000.0
"PTC.NS, Long, 2026-01-28 (Price: 174.64)",2026-02-10 (Price: 189.46),"8.49%, 13 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-02-13 (Price: 184.5), 5.65% above",16 days,"4, 2025-07-17 (Price: 194.52)",2026-01-27 (Price: 168.0),2026-01-28 (Price: 174.64),17/16/16 days,9.82% above/5.65% above/5.65% above,2025-07-17 (Price: 194.52)/2026-01-28 (Price: 160.0239),21.03%/1.88%/6.92%,"23.64%, 47.9%",1.6 month/6 days/24 days,2026-04-07/2026-02-05/2026-03-03,2.71%,13.31%,-10.6%,0.54,0.63,183.0053/186.7251/186.57/240.5167/281.0337/326.2748/No EMA 200 Target,152.8/79.325/129.6519/No support/No F-Track Level/No F-Track Level/172.71,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),6.1821537,16.0,1911900000.0,2172400000.0
"ULTRACEMCO.NS, Long, 2026-01-28 (Price: 12767.0)",2026-02-13 (Price: 12986.0),"1.72%, 16 days","100.0%, Past 4 years, 27","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-02-13 (Price: 12986.0), 1.72% above",16 days,"2, 2020-01-16 (Price: 4554.8999)",2026-01-28 (Price: 12767.0),2026-01-28 (Price: 12767.0),16/16/16 days,1.72% above/1.72% above/1.72% above,2020-01-16 (Price: 4554.8999)/2026-01-28 (Price: 12599.1247),9.21%/0.57%/3.32%,"-0.0%, 12.28%",2.9 months/4 days/26 days,2026-06-03/2026-02-02/2026-03-06,20.96%,12.78%,8.18%,1.31,0.71,13285.3402/13190.8644/17694.26/No Horizontal Resistance/15174.1836/17686.9824/No EMA 200 Target,11317.0/5987.6001/11032.7765/9480.9085/No F-Track Level/No F-Track Level/12007.97,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),49.869526,20.0,17254000000.0,7028200000.0
"TIMKEN.NS, Long, 2026-01-21 (Price: 3056.8)",2026-02-11 (Price: 3206.7),"4.9%, 21 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-21",Already confirmed,"2026-02-13 (Price: 3101.2), 1.45% above",23 days,"0, 2025-06-24 (Price: 3509.1001)",2026-01-21 (Price: 3056.8),2026-01-21 (Price: 3056.8),23/23/23 days,1.45% above/1.45% above/1.45% above,2025-06-24 (Price: 3509.1001)/2026-01-21 (Price: 2974.0346),24.95%/1.66%/9.08%,"23.82%, 42.34%",4.2 months/7 days/1.1 month,2026-07-22/2026-01-31/2026-03-09,4.99%,15.71%,-10.72%,0.41,0.75,3210.8627/3334.3574/3328.18/3534.6/4353.7859/4629.118/No EMA 200 Target,2945.6/1215.6/2711.0127/2114.0088/No F-Track Level/No F-Track Level/3036.28,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),53.918495,20.0,545560000.0,899480000.0
"BLUESTARCO.NS, Long, 2026-01-14 (Price: 1812.1)",2026-02-10 (Price: 1948.3),"7.52%, 27 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-02-13 (Price: 2002.5), 10.51% above",1 month,"4, 2025-10-24 (Price: 2032.9)",2026-01-14 (Price: 1812.1),2026-01-14 (Price: 1812.1),30/30/30 days,10.51% above/10.51% above/10.51% above,2025-10-24 (Price: 2032.9)/2026-01-14 (Price: 1781.0474),13.07%/0.85%/4.79%,"18.65%, 34.45%",1.2 month/7 days/17 days,2026-03-07/2026-01-24/2026-02-07,11.07%,19.19%,-8.12%,0.44,0.94,1973.1957/1898.8996/1944.58/2036.45/2350.133/2514.1831/No EMA 200 Target,1793.2/423.85/1540.2098/1315.5968/No F-Track Level/No F-Track Level/1805.11,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),83.55067,20.0,806600000.0,961900000.0
"TIMKEN.NS, Long, 2026-01-14 (Price: 3051.2)",2026-02-11 (Price: 3206.7),"5.1%, 28 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-02-13 (Price: 3101.2), 1.64% above",1 month,"0, 2025-06-24 (Price: 3509.1001)",2026-01-13 (Price: 3040.0),2026-01-14 (Price: 3051.2),31/30/30 days,2.01% above/1.64% above/1.64% above,2025-06-24 (Price: 3509.1001)/2026-01-14 (Price: 2988.8975),24.95%/1.66%/9.08%,"23.82%, 42.34%",4.2 months/7 days/1.1 month,2026-07-15/2026-01-24/2026-03-02,4.99%,15.71%,-10.72%,0.41,0.75,3204.9805/3328.249/3325.94/3534.6/4353.7859/4629.118/No EMA 200 Target,2945.6/1215.6/2711.0127/2114.0088/No F-Track Level/No F-Track Level/3030.63,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),53.918495,20.0,545560000.0,899480000.0
"TORNTPHARM.NS, Long, 2026-01-14 (Price: 4003.7)",2026-02-13 (Price: 4110.6001),"2.67%, 1 month","89.47%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-02-13 (Price: 4110.6001), 2.67% above",1 month,"2, 2020-01-20 (Price: 1036.825)",2026-01-12 (Price: 3949.8),2026-01-14 (Price: 4003.7),32/30/30 days,4.07% above/2.67% above/2.67% above,2020-01-20 (Price: 1036.825)/2026-01-14 (Price: 3900.767),10.37%/2.17%/4.86%,"10.73%, 21.85%",3.5 months/7 days/23 days,2026-06-15/2026-01-24/2026-02-16,11.61%,17.87%,-6.26%,0.44,1.01,4209.0898/4198.2798/5783.82/No Horizontal Resistance/4350.1862/7020.1077/No EMA 200 Target,3759.5/1253.55/2700.084/1680.2647/No F-Track Level/No F-Track Level/3514.4,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),64.79747,20.0,5910000000.0,4530000000.0
"GRINDWELL.NS, Long, 2026-01-13 (Price: 1577.7)",2026-02-09 (Price: 1653.3),"4.79%, 27 days","78.57%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-02-13 (Price: 1655.9), 4.96% above",1 month,"2, 2025-10-31 (Price: 1748.8)",2026-01-12 (Price: 1562.6),2026-01-13 (Price: 1577.7),32/31/31 days,5.97% above/4.96% above/4.96% above,2025-10-31 (Price: 1748.8)/2026-01-13 (Price: 1549.6826),7.91%/1.15%/3.64%,"6.5%, 27.85%",2.7 months/7 days/24 days,2026-05-10/2026-01-23/2026-02-16,20.43%,12.47%,7.96%,0.6,0.62,1721.4285/1635.1283/1680.36/2481.55/3635.8171/4830.1238/1644.21,1557.9/1373.025/1411.3582/1230.7526/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),46.750145,20.0,951676000.0,961866000.0
"LINDEINDIA.NS, Long, 2026-01-12 (Price: 6105.0)",2026-02-13 (Price: 6734.0),"10.3%, 1.1 month","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-02-13 (Price: 6734.0), 10.3% above",1.1 month,"6, 2025-09-17 (Price: 6600.0)",2026-01-09 (Price: 5907.5),2026-01-12 (Price: 6105.0),35/32/32 days,13.99% above/10.3% above/10.3% above,2025-09-17 (Price: 6600.0)/2026-01-12 (Price: 5870.7781),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-07-26/2026-01-20/2026-02-08,26.6%,29.05%,-2.45%,0.58,1.32,7023.8025/6922.4595/6402.0/No Horizontal Resistance/10059.5422/11195.0707/6383.79,5878.0/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),98.57785,20.0,1933250000.0,1064240000.0
"CEATLTD.NS, Long, 2026-01-08 (Price: 3850.6001)",2026-02-09 (Price: 4015.6001),"4.29%, 1.1 month","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-08",Already confirmed,"2026-02-13 (Price: 4034.5), 4.78% above",1.2 month,"2, 2025-10-23 (Price: 4438.0)",2026-01-07 (Price: 3783.6001),2026-01-08 (Price: 3850.6001),37/36/36 days,6.63% above/4.78% above/4.78% above,2025-10-23 (Price: 4438.0)/2026-01-08 (Price: 3753.4494),19.21%/1.46%/5.31%,"3.9%, 24.59%",4 months/6 days/1.5 month,2026-06-30/2026-01-16/2026-03-14,24.34%,17.32%,7.02%,0.92,0.82,4191.3782/4055.067/4203.04/4044.0/4937.5719/5697.8144/No EMA 200 Target,3703.5/1265.1/3824.3322/3079.4707/No F-Track Level/No F-Track Level/3558.66,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),29.410046,20.0,1557700000.0,1218800000.0
"GRINDWELL.NS, Long, 2026-01-06 (Price: 1599.9)",2026-02-09 (Price: 1653.3),"3.34%, 1.1 month","78.57%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-02-13 (Price: 1655.9), 3.5% above",1.3 month,"2, 2025-10-31 (Price: 1748.8)",2026-01-06 (Price: 1599.9),2026-01-06 (Price: 1599.9),38/38/38 days,3.5% above/3.5% above/3.5% above,2025-10-31 (Price: 1748.8)/2026-01-06 (Price: 1569.2031),7.91%/1.15%/3.64%,"6.5%, 27.85%",2.7 months/7 days/24 days,2026-05-03/2026-01-16/2026-02-09,20.43%,12.47%,7.96%,0.6,0.62,1745.6509/1658.1364/1689.24/2481.55/3635.8171/4830.1238/1646.82,1557.9/1373.025/1411.3582/1230.7526/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),46.750145,20.0,951676000.0,961866000.0
"INDUSTOWER.NS, Long, 2026-01-02 (Price: 442.05)",2026-02-12 (Price: 474.0),"7.23%, 1.4 month","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-13 (Price: 467.15), 5.68% above",1.4 month,"2, 2020-01-31 (Price: 253.8)",2026-01-01 (Price: 435.8),2026-01-02 (Price: 442.05),43/42/42 days,7.19% above/5.68% above/5.68% above,2020-01-31 (Price: 253.8)/2026-01-02 (Price: 425.2362),13.57%/1.77%/5.88%,"27.11%, 40.32%",3.5 months/9 days/1.4 month,2026-06-03/2026-01-15/2026-03-03,8.56%,5.73%,2.83%,0.28,0.34,477.9445/468.0425/555.0/No Horizontal Resistance/523.2332/555.9965/No EMA 200 Target,396.6/135.475/395.8332/348.1734/No F-Track Level/No F-Track Level/379.71,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),17.233099,20.0,17759000000.0,22235000000.0
"TIMKEN.NS, Long, 2026-01-02 (Price: 3052.6001)",2026-02-11 (Price: 3206.7),"5.05%, 1.3 month","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-02",Already confirmed,"2026-02-13 (Price: 3101.2), 1.59% above",1.4 month,"0, 2025-06-24 (Price: 3509.1001)",2026-01-01 (Price: 3041.2),2026-01-02 (Price: 3052.6001),43/42/42 days,1.97% above/1.59% above/1.59% above,2025-06-24 (Price: 3509.1001)/2026-01-02 (Price: 3018.6234),24.95%/1.66%/9.08%,"23.82%, 42.34%",4.2 months/7 days/1.1 month,2026-07-03/2026-01-12/2026-02-18,4.99%,15.71%,-10.72%,0.41,0.75,3206.4511/3329.7762/3326.5/3534.6/4353.7859/4629.118/No EMA 200 Target,2957.2/1215.6/2711.0127/2114.0088/No F-Track Level/No F-Track Level/3016.77,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),53.918495,20.0,545560000.0,899480000.0
"GRINDWELL.NS, Long, 2025-12-30 (Price: 1597.0)",2026-02-09 (Price: 1653.3),"3.53%, 1.4 month","78.57%, Past 4 years, 28","Daily, is CONFIRMED on 2025-12-30",Already confirmed,"2026-02-13 (Price: 1655.9), 3.69% above",1.5 month,"2, 2025-10-31 (Price: 1748.8)",2025-12-30 (Price: 1597.0),2025-12-30 (Price: 1597.0),45/45/45 days,3.69% above/3.69% above/3.69% above,2025-10-31 (Price: 1748.8)/2025-12-30 (Price: 1565.3926),7.91%/1.15%/3.64%,"6.5%, 27.85%",2.7 months/7 days/24 days,2026-04-26/2026-01-09/2026-02-02,20.43%,12.47%,7.96%,0.6,0.62,1742.4867/1655.1308/1688.08/2481.55/3635.8171/4830.1238/1646.53,1536.9/1373.025/1411.3582/1230.7526/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),46.750145,20.0,951676000.0,961866000.0
"EKC.NS, Long, 2025-12-23 (Price: 117.65)",2026-02-12 (Price: 124.11),"5.49%, 1.7 month","94.74%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-23",Already confirmed,"2026-02-13 (Price: 121.13), 2.96% above",1.7 month,"2, 2025-10-27 (Price: 154.55)",2025-12-19 (Price: 115.41),2025-12-23 (Price: 117.65),56/52/52 days,4.96% above/2.96% above/2.96% above,2025-10-27 (Price: 154.55)/2025-12-23 (Price: 112.6712),82.13%/2.33%/15.85%,"6.58%, 38.07%",3.7 months/6 days/23 days,2026-06-01/2025-12-31/2026-01-25,38.86%,20.05%,18.81%,0.85,0.85,137.0623/136.2975/139.79/178.5/No Next Fib Ext/No Next Fib Ext/131.75,111.17/66.4/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),14.073001,20.0,136700000.0,384700000.0
"ADANIPORTS.NS, Long, 2025-12-19 (Price: 1496.4)",2026-02-09 (Price: 1561.7),"4.36%, 1.7 month","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-13 (Price: 1523.3), 1.8% above",1.9 month,"0, 2025-06-02 (Price: 1482.0)",2025-12-18 (Price: 1495.7),2025-12-19 (Price: 1496.4),57/56/56 days,1.85% above/1.8% above/1.8% above,2025-06-02 (Price: 1482.0)/2025-12-19 (Price: 1488.7697),11.99%/1.12%/5.02%,"18.11%, 48.65%",2.6 months/7 days/25 days,2026-04-10/2025-12-29/2026-01-24,13.7%,17.85%,-4.15%,0.11,0.84,1656.3652/1571.5193/1505.04/1613.175/2003.147/2236.9645/No EMA 200 Target,1480.5/647.7167/1478.5087/1311.4082/No F-Track Level/No F-Track Level/1369.74,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),26.348518,20.0,30536100000.0,24450000000.0
"LINDEINDIA.NS, Long, 2025-12-12 (Price: 6008.5)",2026-02-12 (Price: 6440.5),"7.19%, 2.1 months","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2026-02-13 (Price: 6734.0), 12.07% above",2.1 months,"4, 2025-09-17 (Price: 6600.0)",2025-12-11 (Price: 5971.5),2025-12-12 (Price: 6008.5),64/63/63 days,12.77% above/12.07% above/12.07% above,2025-09-17 (Price: 6600.0)/2025-12-12 (Price: 5917.2771),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-06-25/2025-12-20/2026-01-08,26.6%,29.05%,-2.45%,0.58,1.32,6912.7793/6813.0382/6363.4/6045.0/10059.5422/11195.0707/6402.69,5771.0/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),98.56334,20.0,1933250000.0,1064240000.0
"MOTHERSON.NS, Long, 2025-12-12 (Price: 121.3)",2026-02-13 (Price: 133.04),"9.68%, 2.1 months","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2026-02-13 (Price: 133.04), 9.68% above",2.1 months,"8, 2024-02-12 (Price: 82.2667)",2025-12-11 (Price: 119.8),2025-12-12 (Price: 121.3),64/63/63 days,11.05% above/9.68% above/9.68% above,2024-02-12 (Price: 82.2667)/2025-12-12 (Price: 116.3525),18.29%/3.3%/9.71%,"34.41%, 47.46%",3.3 months/8 days/22 days,2026-05-04/2025-12-23/2026-01-12,19.17%,13.75%,5.42%,0.67,0.65,135.0069/133.0782/144.72/No Horizontal Resistance/153.8589/163.7818/No EMA 200 Target,115.3/41.2/111.9154/102.2779/No F-Track Level/No F-Track Level/98.89,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),40.975307,20.0,10237000000.0,8786300000.0
"HDFCAMC.NS, Long, 2025-12-11 (Price: 2664.7)",2026-02-10 (Price: 2816.8),"5.71%, 2 months","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2026-02-13 (Price: 2816.5), 5.7% above",2.1 months,"2, 2025-10-16 (Price: 2967.25)",2025-12-10 (Price: 2609.3999),2025-12-11 (Price: 2664.7),65/64/64 days,7.94% above/5.7% above/5.7% above,2025-10-16 (Price: 2967.25)/2025-12-11 (Price: 2584.6111),11.53%/0.53%/4.49%,"10.67%, 17.99%",2 months/7 days/25 days,2026-03-07/2025-12-21/2026-01-16,17.78%,6.11%,11.67%,0.77,0.32,2891.7324/2784.345/2846.23/2965.5/2920.6123/3748.0661/No EMA 200 Target,2551.5/1664.6/2642.6081/2208.5373/No F-Track Level/No F-Track Level/2512.36,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),42.027794,16.0,7694200000.0,6413600000.0
"LINDEINDIA.NS, Long, 2025-11-20 (Price: 6125.5)",2026-02-13 (Price: 6734.0),"9.93%, 2.8 months","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2026-02-13 (Price: 6734.0), 9.93% above",2.8 months,"2, 2025-09-09 (Price: 6568.0)",2025-11-19 (Price: 6076.5),2025-11-20 (Price: 6125.5),86/85/85 days,10.82% above/9.93% above/9.93% above,2025-09-09 (Price: 6568.0)/2025-11-20 (Price: 5995.4409),37.57%/1.58%/13.39%,"16.54%, 34.41%",4.5 months/6 days/19 days,2026-06-03/2025-11-28/2025-12-17,26.6%,29.05%,-2.45%,0.58,1.32,7047.3878/6945.7045/6391.0/No Horizontal Resistance/10059.5422/11195.0707/6410.61,5695.5/2275.0/5190.2168/4425.7936/No F-Track Level/No F-Track Level/No EMA 200 Support,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),98.56334,20.0,1933250000.0,1064240000.0
"ARVIND.NS, Long, 2025-11-19 (Price: 356.95)",2026-02-10 (Price: 368.7),"3.29%, 2.8 months","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2025-11-19",Already confirmed,"2026-02-13 (Price: 385.6), 8.03% above",2.9 months,"0, 2024-12-11 (Price: 446.0)",2025-11-18 (Price: 346.35),2025-11-19 (Price: 356.95),87/86/86 days,11.33% above/8.03% above/8.03% above,2024-12-11 (Price: 446.0)/2025-11-19 (Price: 344.66),22.87%/3.67%/8.34%,"10.12%, 23.62%",4.4 months/8 days/1.4 month,2026-05-29/2025-11-30/2026-01-18,32.52%,28.05%,4.47%,0.75,1.15,382.3648/386.7196/410.38/No Horizontal Resistance/418.079/516.8303/No EMA 200 Target,309.95/83.2/321.2878/265.2036/No F-Track Level/No F-Track Level/333.68,86.51%/252/1.2 month (Across ALL Assets),73.77%/2051/1.9 month (Across ALL Assets),25.161812,20.0,975900000.0,1034200000.0
